"Dia";"Diesel A";"Gasolina 95"
"2020-03-30 00:00:00";1,0699;1,1647
"2020-03-31 00:00:00";1,0628;1,1575
"2020-04-01 00:00:00";1,0555;1,1506
"2020-04-02 00:00:00";1,0515;1,1466
"2020-04-03 00:00:00";1,0486;1,1432
"2020-04-05 00:00:00";1,0458;1,143
"2020-04-06 00:00:00";1,0451;1,1425
"2020-04-09 00:00:00";1,0451;1,1417
"2020-04-10 00:00:00";1,0442;1,1407
"2020-04-11 00:00:00";1,044;1,1406
"2020-04-12 00:00:00";1,0452;1,1418
"2020-04-13 00:00:00";1,0452;1,1418
"2020-04-14 00:00:00";1,0435;1,1404
"2020-04-15 00:00:00";1,0427;1,1403
"2020-04-16 00:00:00";1,0375;1,1381
"2020-04-17 00:00:00";1,0338;1,137
"2020-04-18 00:00:00";1,0335;1,1392
"2020-04-19 00:00:00";1,0332;1,1389
"2020-04-20 00:00:00";1,0332;1,1389
"2020-04-21 00:00:00";1,0282;1,1329
"2020-04-22 00:00:00";1,0253;1,1311
"2020-04-23 00:00:00";1,0177;1,1225
"2020-04-24 00:00:00";1,0115;1,1174
"2020-04-25 00:00:00";1,0116;1,1169
"2020-04-26 00:00:00";1,0116;1,1168
"2020-04-27 00:00:00";1,0103;1,1157
"2020-04-28 00:00:00";1,0067;1,1118
"2020-04-29 00:00:00";1,002;1,1077
"2020-04-30 00:00:00";0,9979;1,1047
"2020-05-01 00:00:00";0,9924;1,1004
"2020-05-02 00:00:00";0,9967;1,1063
"2020-05-03 00:00:00";0,9967;1,1057
"2020-05-04 00:00:00";0,996;1,105
"2020-05-05 00:00:00";0,9943;1,1044
"2020-05-06 00:00:00";0,9949;1,104
"2020-05-07 00:00:00";0,9968;1,1078
"2020-05-08 00:00:00";0,9979;1,1097
"2020-05-09 00:00:00";1,0028;1,1152
"2020-05-10 00:00:00";1,0026;1,1151
"2020-05-11 00:00:00";1,0045;1,1166
"2020-05-12 00:00:00";1,0034;1,1156
"2020-05-13 00:00:00";1,0039;1,1169
"2020-05-14 00:00:00";1,0028;1,1154
"2020-05-15 00:00:00";1,0026;1,115
"2020-05-16 00:00:00";1,0059;1,1171
