"Dia";"Barcelona - el Raval";"Barcelona - Observatori Fabra";"Barcelona - Zona Universitària"
"2020-02-01 00:00:00";15,71;13,97;14,87
"2020-02-02 00:00:00";17,48;15,32;16,76
"2020-02-03 00:00:00";18,13;17,48;17,63
"2020-02-04 00:00:00";16,05;13,03;15,79
"2020-02-05 00:00:00";12,62;9,8;11,03
"2020-02-06 00:00:00";12,09;9,52;10,32
"2020-02-07 00:00:00";11,94;8,89;10,52
"2020-02-08 00:00:00";12,41;9,55;10,97
"2020-02-09 00:00:00";12,91;11,06;11,88
"2020-02-10 00:00:00";15,86;14,06;14,97
"2020-02-11 00:00:00";15;12,33;14,44
"2020-02-12 00:00:00";12,61;9,55;12,01
"2020-02-13 00:00:00";14,14;11,93;13,03
"2020-02-14 00:00:00";13,4;11,03;12,64
"2020-02-15 00:00:00";13,6;11,07;12,51
"2020-02-16 00:00:00";13,94;10,45;13,04
"2020-02-17 00:00:00";14,39;11,5;13,53
"2020-02-18 00:00:00";12,62;9,08;11,7
"2020-02-19 00:00:00";12;9,04;10,75
"2020-02-20 00:00:00";12,76;10,83;11,16
"2020-02-21 00:00:00";14,08;12,28;12,82
"2020-02-22 00:00:00";13,16;11,61;12,25
"2020-02-23 00:00:00";14,88;15,56;13,78
"2020-02-24 00:00:00";15,66;16,15;14,66
"2020-02-25 00:00:00";13,25;11,98;12,81
"2020-02-26 00:00:00";14,24;10,95;13,63
"2020-02-27 00:00:00";15,2;11,48;14,49
"2020-02-28 00:00:00";14,15;10,8;13,01
"2020-02-29 00:00:00";15,63;13,17;14,91
"2020-03-01 00:00:00";16,44;13,65;15,9
"2020-03-02 00:00:00";15,13;11,6;14,46
"2020-03-03 00:00:00";12,55;8,5;11,89
"2020-03-04 00:00:00";13,63;10,57;12,74
"2020-03-05 00:00:00";16,14;13,68;15,24
"2020-03-06 00:00:00";12,54;8,32;11,34
"2020-03-07 00:00:00";12,84;9,17
"2020-03-08 00:00:00";14,23;11,21;13,1
"2020-03-09 00:00:00";13,99;11,1;13,18
"2020-03-10 00:00:00";13,73;10,58;12,68
"2020-03-11 00:00:00";14,07;14,17;13,73
"2020-03-12 00:00:00";14,92;15,37;14,45
"2020-03-13 00:00:00";15,14;13,99;14,33
"2020-03-14 00:00:00";14,93;12,38;14,17
"2020-03-15 00:00:00";14,38;11,36;13,44
"2020-03-16 00:00:00";13,75;10,54;13,28
"2020-03-17 00:00:00";14,94;11,77;14,6
"2020-03-18 00:00:00";13,97;12,26;13,16
"2020-03-19 00:00:00";13;10,96;12,1
"2020-03-20 00:00:00";13,15;10,58;12,46
"2020-03-21 00:00:00";13,57;11,03;13,12
"2020-03-22 00:00:00";14,02;11,1;13,36
"2020-03-23 00:00:00";13,64;10,53;13,14
"2020-03-24 00:00:00";12,37;8,77;11,7
"2020-03-25 00:00:00";10,53;6,67;9,44
"2020-03-26 00:00:00";9,6;6,39;8,89
"2020-03-27 00:00:00";11,48;8,06;10,28
"2020-03-28 00:00:00";14,26;11,93;13,73
"2020-03-29 00:00:00";15,03;13,35;14,44
"2020-03-30 00:00:00";10,63;7,02;9,8
"2020-03-31 00:00:00";11,85;8,14;11,29
"2020-04-01 00:00:00";11,46;8,17;11,06
"2020-04-02 00:00:00";12,36;9;11,79
"2020-04-03 00:00:00";13,5;10,84;12,13
"2020-04-04 00:00:00";13,88;12,67;12,96
"2020-04-05 00:00:00";14,15;12,44;13,04
"2020-04-06 00:00:00";14,55;12,48;13,81
"2020-04-07 00:00:00";15,48;12,96;14,92
"2020-04-08 00:00:00";16,16;14,02;15,64
"2020-04-09 00:00:00";15,9;14,17;15,3
"2020-04-10 00:00:00";16,41;14,97;15,75
"2020-04-11 00:00:00";16,7;14,44;15,48
"2020-04-12 00:00:00";16,48;14,85;16,11
"2020-04-13 00:00:00";14,36;11,23;13,83
"2020-04-14 00:00:00";15,61;13,57;15,45
"2020-04-15 00:00:00";15,4;13,72;14,99
"2020-04-16 00:00:00";16,32;14,29;16,3
"2020-04-17 00:00:00";16,91;14,08;16,23
"2020-04-18 00:00:00";16,76;14,92;16,37
"2020-04-19 00:00:00";15,67;13,62;15,42
"2020-04-20 00:00:00";15,91;13,44;15,47
"2020-04-21 00:00:00";14,7;12,46;14,3
"2020-04-22 00:00:00";15,17;11,59;14,59
"2020-04-23 00:00:00";17,93;14,59;16,6
"2020-04-24 00:00:00";18,53;16,54;17,51
"2020-04-25 00:00:00";17,11;15,55;16,55
"2020-04-26 00:00:00";17,61;15,51;16,89
"2020-04-27 00:00:00";17,6;14,71;16,54
"2020-04-28 00:00:00";18,17;14,7;17,15
"2020-04-29 00:00:00";18,12;14,94;17,44
"2020-04-30 00:00:00";20,44;16,9;19,64
"2020-05-01 00:00:00";22,41;19,17;21,01
"2020-05-02 00:00:00";20,39;19,08;20,61
"2020-05-03 00:00:00";20,08;18,57;19,81
"2020-05-04 00:00:00";21,5;19,95;20,79
"2020-05-05 00:00:00";20,6;19,35;20,14
"2020-05-06 00:00:00";;20,53
"2020-05-07 00:00:00";;19,67;20,29
"2020-05-08 00:00:00";20,21;18,3;20,01
"2020-05-09 00:00:00";18,81;15,87;18,39
"2020-05-10 00:00:00";18,32;14,97;17,67
"2020-05-11 00:00:00";20,14;16,73;19,39
"2020-05-12 00:00:00";17,53;15,42;17,43
"2020-05-13 00:00:00";19,8;16,31;18,94
"2020-05-14 00:00:00";16,87;14,05;16,83
"2020-05-15 00:00:00";18,03;15,62;17,48
"2020-05-16 00:00:00";18,35;15,1;17,29
"2020-05-17 00:00:00";19,62;16,3;18,58
"2020-05-18 00:00:00";20,44;19,35;19,69
"2020-05-19 00:00:00";22,14;21,05;21,8
"2020-05-20 00:00:00";22,25;22,3;22,27
"2020-05-21 00:00:00";;23,76;23,7
"2020-05-22 00:00:00";24,37;23,25;23,2
"2020-05-23 00:00:00";;21,86;22,45
"2020-05-24 00:00:00";20,93;18,36;20,39
"2020-05-25 00:00:00";22,18;19,41;21,45
"2020-05-26 00:00:00";;21,55;22,88
"2020-05-27 00:00:00";21,81;20,86;21,53
"2020-05-28 00:00:00";20,96;19,27;21,35
"2020-05-29 00:00:00";22,16;20,24;20,88
"2020-05-30 00:00:00";20,84;18,51;20,55
"2020-05-31 00:00:00";21,5;18,32;20,78
"2020-06-01 00:00:00";21,76;18,88;21,19
"2020-06-02 00:00:00";21,69;19,05;20,75
"2020-06-03 00:00:00";22,4;19,17;21,52
"2020-06-04 00:00:00";19,9;16,14;18,89
"2020-06-05 00:00:00";20,11;16,97;19,67
"2020-06-06 00:00:00";20,99;19,79;20,67
"2020-06-07 00:00:00";19,85;16,97;19,26
"2020-06-08 00:00:00";18,14;14,07;17,05
"2020-06-09 00:00:00";18,07;14,73;16,89
"2020-06-10 00:00:00";19;16,4;18,34
"2020-06-11 00:00:00";20,16;17,18;19,78
"2020-06-12 00:00:00";22,85;19,13;22,05
"2020-06-13 00:00:00";23,23;19,75;22,35
"2020-06-14 00:00:00";21,91;18,51;21,03
"2020-06-15 00:00:00";22,15;19,34;21,66
"2020-06-16 00:00:00";20,61;16,5;19,27
"2020-06-17 00:00:00";20,9;17,95;20,31
"2020-06-18 00:00:00";19,17;16,61;18,84
"2020-06-19 00:00:00";21,23;18,26
"2020-06-20 00:00:00";22,8;19,56;21,92
"2020-06-21 00:00:00";24,09;21,9;23,2
"2020-06-22 00:00:00";24,17;22,73;23,91
"2020-06-23 00:00:00";25,33;22,5;24,12
"2020-06-24 00:00:00";25,06;22,57;24,26
"2020-06-25 00:00:00";25,48;24,05;25,54
"2020-06-26 00:00:00";26,07;24,84;25,88
"2020-06-27 00:00:00";25;23,46;24,79
"2020-06-28 00:00:00";25,94;23,9;25,58
"2020-06-29 00:00:00";25,35;22,88;24,86
"2020-06-30 00:00:00";25,17;22,29;24,84
"2020-07-01 00:00:00";26,32;25,2;26,45
"2020-07-02 00:00:00";26,4;23,77;26,02
"2020-07-03 00:00:00";23,09;19,86;22,6
"2020-07-04 00:00:00";24,01;21,12;23,4
"2020-07-05 00:00:00";26,15;24,39;25,03
